Wavelength (nm)	Z	E	HL
562.0	1.5373010955752529	2.58653657184831	2.984146840249209
563.0	1.6165606890545765	2.800141512712766	2.1082919388602006
564.0	1.3733330977419556	2.438187090159845	0.7731065023459973
565.0	0.7575258922518632	1.3751007832743936	0.7647984921714904
566.0	0.7392105615807296	1.1816122215562699	-0.28683341900470294
567.0	1.1279992434021575	1.9476236681105803	-1.6550944097237772
568.0	0.5640244237113667	1.4158754255417298	-1.6934762786462174
569.0	-0.730274206490771	-0.6813870259533957	0.06400929832860654
570.0	-0.7356314407120763	-0.994682737850638	1.1490155106507598
571.0	0.29909316555345494	0.33215839400451147	1.2264905507367025
572.0	1.0295543410448307	1.691581189953352	-0.052672721279254
573.0	0.6773047439123137	1.3502077085494728	-0.06800839759442714
574.0	0.358892720194694	0.7379240004230769	-0.06702680050190912
575.0	1.1239698706545167	1.765117473129333	-0.2525628770350079
576.0	1.7633122760570068	2.900491190460187	-0.9975381660866571
577.0	1.229832481933641	2.4274827548331577	-2.096727745093783
578.0	0.07317356172505737	0.4966033862629844	-1.514526860864413
579.0	-0.24446006043902502	-0.5426643503343457	-0.8530442288571051
580.0	0.7138438286012121	0.5905936311474884	-1.1994341941619548
581.0	0.9946636361163262	1.090626379553099	-0.9943230799575303
582.0	-0.4185472784681333	-1.0860042719032428	1.142002070554852
583.0	-1.7395862914501126	-3.354338214955929	3.1385990088522226
584.0	-1.625435993042297	-3.5961942853473166	3.871595968165992
585.0	-0.7404850033399263	-1.8138357419389162	1.690657941100347
586.0	-0.8283070139079993	-1.1504352784637286	-0.3820341109353515
587.0	-1.5099120448341319	-2.03198692487629	-0.45006305726122875
588.0	-1.1069747700692643	-1.6896660445102756	0.11720047990783225
589.0	0.4917704442137543	0.6290232183677845	0.21975603701010296
590.0	1.0529979643038843	2.219550486562299	-1.3192459436300428
591.0	-0.22719786128148603	0.5823299477965395	-1.9981697065857256
592.0	-0.874324282219225	-1.0948795361327053	-1.5188089003549576
593.0	0.1475795925765188	-0.0554998181627636	-1.676675319714647
594.0	1.2604648724811194	1.9483808814888484	-2.405191074910323
595.0	0.5564235614828434	1.415250611073899	-1.068454999510822
596.0	-0.8217592831930707	-0.7078131174770141	1.2282688063390645
597.0	-0.5264703644477626	-0.9761744288596227	2.8634815280920103
598.0	0.6504727844791028	0.6432616782516917	2.326604822656964
599.0	0.5668632999653842	1.2542869350495163	0.47509931547155776
600.0	-0.6697878269493638	-0.6903393600864423	0.3210170240337744
