Wavelength (nm)	Z cut-epsilon	E cut-epsilon	HL cut-epsilon
251.0	6964.939219287001	8825.31866322393	12843.579014050067
252.0	6994.778220585918	8925.942779956951	12472.126261598045
253.0	7053.723383640298	9046.217961808328	12064.670858684238
254.0	7129.965623807647	9173.15905341946	11625.068126639198
255.0	7227.615437167196	9311.501413013097	11177.418510848733
256.0	7336.327107881525	9455.872141334014	10739.043836346167
257.0	7454.097866043522	9597.061084258448	10295.908336366656
258.0	7579.3310230049965	9740.813373867359	9807.64384332007
259.0	7705.939637816835	9881.6347282704	9257.925268927405
260.0	7839.764568862056	10022.25905620764	8651.091567631962
261.0	7975.203890535299	10148.520795460006	8025.349924331299
262.0	8107.316032850999	10270.66245480991	7435.061622266721
263.0	8231.231884195604	10370.022335697477	6928.771061071429
264.0	8356.035513138091	10471.569573994464	6511.981027376244
265.0	8468.42825223698	10549.765013687089	6191.516055596306
266.0	8587.016117261532	10632.476863029537	5950.750619927995
267.0	8683.502155706685	10688.509722854493	5770.314358764533
268.0	8779.095852190827	10738.622175252236	5635.574811514361
269.0	8853.580201528936	10770.83127006502	5534.296871403873
270.0	8924.350206762834	10794.749264726734	5455.646417517047
271.0	8981.23224727457	10804.427055443577	5394.879903603728
272.0	9025.439540789983	10797.134651180106	5346.614206098367
273.0	9058.712430229487	10785.32986967152	5310.029939899848
274.0	9071.09202290707	10753.74317399044	5275.438664414561
275.0	9081.72353570577	10718.848007408007	5244.610828497871
276.0	9069.466058003492	10661.230498982157	5215.145322590469
277.0	9038.488626605715	10581.77071309712	5187.380260325595
278.0	9001.258915804941	10496.812996902307	5160.563345512329
279.0	8943.193536067805	10392.595035315579	5132.329642884719
280.0	8873.193975724418	10280.934101372584	5101.961882968752
281.0	8789.069982352652	10152.837549542595	5065.771048233943
282.0	8687.28298283911	10006.862381539288	5028.333617291533
283.0	8578.623214532907	9856.93208323737	4987.628516238486
284.0	8454.957125532732	9689.172935419238	4941.935110882745
285.0	8323.984980210662	9512.941906428898	4894.0097987328045
286.0	8189.851471067353	9324.296187818009	4843.834170775102
287.0	8051.161228595058	9125.63118015815	4790.91481375014
288.0	7903.142971227966	8916.264671405252	4736.0282181894445
289.0	7751.75719018391	8697.585655379657	4679.678706186678
290.0	7600.293625990375	8471.014381384924	4623.602536688437
291.0	7450.816097155455	8240.097986423254	4566.46945380253
292.0	7303.5054646848075	8015.329827958298	4509.570973979056
293.0	7147.939052113621	7789.5043300272855	4456.058072493181
294.0	7006.23816612555	7571.38356727737	4405.313462944298
295.0	6862.0711418746305	7355.5924370907305	4357.410944067683
296.0	6719.946639217473	7145.686161342894	4313.227284200791
297.0	6583.422301902645	6952.744157916608	4271.445064869245
298.0	6451.666514792833	6761.915144289414	4234.405502197625
299.0	6326.053114627209	6588.02441882364	4200.909346796209
300.0	6195.422568816393	6412.129456725914	4168.958531307169
301.0	6072.031141476888	6246.64026649917	4140.703313741429
302.0	5951.064611509747	6085.917475603055	4115.0674395583155
303.0	5838.461095053488	5934.921823969577	4091.955308379457
304.0	5724.592538680817	5790.48195161518	4071.376042962091
305.0	5611.341524445765	5653.926288496759	4053.7030127684734
306.0	5500.001635580467	5525.991625341644	4035.3148644982775
307.0	5392.185332158055	5396.608290482309	4016.583460808465
308.0	5290.517854249124	5279.873700851746	4003.3565653481314
309.0	5182.327307891471	5162.236229334134	3994.6644012848146
310.0	5082.117064440837	5052.515417653652	3991.6978293613574
311.0	4985.1800746801355	4947.320065402963	3990.4979987757583
312.0	4883.604704874303	4845.9159558087185	3993.0592763163445
313.0	4787.642369190803	4749.763705543541	3997.033549000418
314.0	4697.470020051024	4658.274470473332	4006.4014377572275
315.0	4607.500272776536	4570.375254124214	4017.8917484967155
316.0	4523.972865391406	4488.909473564849	4033.548474336223
317.0	4439.950682649094	4409.29560772242	4050.0281325116193
318.0	4356.95983391348	4330.622410624291	4071.598729017459
319.0	4281.3281504212055	4256.496180944525	4094.4321404688153
320.0	4209.933111954426	4188.905841932504	4121.6473244853905
321.0	4140.793118804099	4122.181456549607	4153.680115837773
322.0	4079.8395940228147	4064.0248679119168	4189.247812854146
323.0	4021.4255285884237	4004.821884698898	4229.034706550875
324.0	3972.731306523147	3948.923756664562	4270.692919170757
325.0	3927.009086180876	3897.435072866505	4319.98519100777
326.0	3889.2159636257893	3849.3598251226267	4372.671037398421
327.0	3859.6196930020647	3805.2724349554314	4426.576723790725
328.0	3835.758077454006	3762.4318030806708	4486.818161457657
329.0	3821.1362782721085	3724.789240044495	4548.908262251821
330.0	3813.528996666234	3691.0044812338656	4617.785398334445
331.0	3817.755757989282	3662.5066508708574	4690.727814276035
332.0	3824.806401156584	3634.0797493505797	4764.188785352701
333.0	3841.5566430118242	3612.1536681504904	4842.827815894602
334.0	3870.4548144827872	3595.155530939824	4923.223082454622
335.0	3906.5408254799213	3583.1503145239676	5009.1518708366875
336.0	3952.7007890022087	3575.307508942937	5096.344219537015
337.0	4006.9247797008334	3568.60367408768	5184.5764593158765
338.0	4068.524042975577	3570.9667936860046	5277.535029080971
339.0	4142.758931506164	3578.831178937189	5369.541395101551
340.0	4223.698681538142	3589.88454341302	5464.933776195747
341.0	4316.853035596158	3608.3777129940277	5562.801249540027
342.0	4414.96037627155	3629.2240539019035	5657.908938845584
343.0	4527.071232691248	3658.3693740112762	5756.519780676554
344.0	4649.994557609205	3690.1097707227764	5850.4164625476615
345.0	4780.468297379603	3731.2763126834357	5946.37803526008
346.0	4922.794651189221	3776.655202291133	6041.401238287462
347.0	5077.216967280397	3833.339926293527	6137.976243491239
348.0	5235.380707958168	3888.9580892985855	6229.806217575266
349.0	5408.860011813388	3955.094355843353	6318.525270878862
350.0	5601.499822961567	4030.5438176455173	6406.1803126257655
351.0	5791.533391354917	4108.942143362955	6494.701706425232
352.0	5999.725713074472	4196.3572803344605	6581.1395480066685
353.0	6215.937471051984	4287.880039855438	6661.495313251603
354.0	6441.401671531457	4387.581154569219	6739.770832000852
355.0	6688.093125998031	4496.63982369689	6814.110867462003
356.0	6939.773411429659	4605.579484986942	6887.270436739836
357.0	7200.410482242559	4722.153948096742	6955.9732441245105
358.0	7478.356363797146	4849.038889124447	7021.785822834791
359.0	7763.320636893006	4981.321539119432	7078.364857355508
360.0	8063.627908365786	5121.5516880695495	7132.584781454481
361.0	8378.57196764484	5269.254268118284	7185.727538198907
362.0	8702.594751973922	5427.277959034893	7233.170167195701
363.0	9047.697234668694	5590.31593755357	7261.280975519329
364.0	9390.840470263849	5754.917433288321	7332.583771431403
365.0	9749.075050338919	5931.11691368484	7457.143981972548
366.0	10124.94896738324	6120.654133835414	7466.274589163343
367.0	10516.086492852999	6310.3674907549785	7523.172473473688
368.0	10914.166291786196	6500.210971173643	7573.607210031323
369.0	11311.266686725223	6702.412083341727	7501.336662933177
370.0	11731.538099855008	6916.077062472286	7449.351879903593
371.0	12168.534575326395	7129.502990811438	7419.563590826631
372.0	12602.732069430713	7361.03037642463	7391.189580664612
373.0	13034.45741481411	7583.601350130152	7368.554210950677
374.0	13498.667286176951	7810.743310362669	7346.292704794489
375.0	13957.66103388633	8050.73404165891	7338.313989119237
376.0	14430.410309106717	8283.131856086356	7308.619310356502
377.0	14895.768127840702	8527.032150489435	7274.184887135168
378.0	15362.576260753462	8774.58554658379	7242.289675723201
379.0	15856.68832407103	9015.570223081057	7217.606590596152
380.0	16315.499420997783	9261.322848115356	7153.7462088257535
381.0	16814.22364784661	9512.952583781249	7093.590314246036
382.0	17357.942556905575	9788.796392857921	7036.058309533484
383.0	17835.064310705897	10042.629805176932	6975.610490333542
384.0	18313.421096181533	10293.178284469537	6901.9882519021985
385.0	18789.516706582785	10549.951749140035	6831.038050236467
386.0	19282.195481418425	10801.921062260986	6745.102886254423
387.0	19756.777700519568	11063.10957941038	6678.656557003155
388.0	20219.639998849943	11324.326317377403	6625.535938085779
389.0	20683.035672993024	11562.543359471922	6522.3762425752375
390.0	21156.575581038192	11818.803181390407	6395.378249530467
391.0	21583.407091777743	12070.67722846582	6299.166153657809
392.0	22002.37321019746	12322.665399953497	6250.079194813096
393.0	22448.044200435666	12558.791342712584	6165.549274745364
394.0	22849.86162380279	12795.213251831257	6044.428538706597
395.0	23250.178158557235	13028.099590167281	5909.478264320893
396.0	23624.957310739734	13251.401990159682	5799.063526676062
397.0	23993.46229194568	13487.242145278999	5698.481435155011
398.0	24339.700027362513	13701.814756541693	5644.328192731315
399.0	24684.37654577483	13895.728071240103	5531.491184382531
400.0	24961.220868657474	14092.32756497472	5392.527386832986
401.0	25305.243836871552	14293.585389596074	5246.606783740283
402.0	25564.469935897923	14476.941607748991	5136.433290374753
403.0	25819.41948372555	14642.323643592104	5024.929234235045
404.0	25934.933099455877	14799.056211210123	4920.855295815571
405.0	26213.325860158075	14969.954344366075	4843.878946800629
406.0	26483.622291944288	15111.855590351783	4716.447507771974
407.0	26527.9309537974	15238.501722931398	4567.697033322053
408.0	26586.653976042442	15368.772117325885	4448.68169847194
409.0	26672.21887811446	15448.920391640784	4328.177521042019
410.0	26734.95093266855	15543.327589196248	4205.7939874235
411.0	26742.24699001306	15633.399372340273	4098.854268745575
412.0	26711.932427395986	15692.6029076209	4006.074573082233
413.0	26709.06932914696	15750.197670912394	3915.78250824448
414.0	26601.665468647403	15769.710940581293	3781.061493800539
415.0	26435.16609482911	15791.677187782054	3645.2307181622896
416.0	26268.522779589715	15785.248880631525	3530.8199387840086
417.0	26132.008839259997	15792.809240000863	3436.052518431003
418.0	26005.028155563305	15766.311960521713	3313.9863766536255
419.0	25734.649995819407	15720.556986547468	3208.5801169420233
420.0	25429.26828061324	15665.109107987786	3119.4204206709082
421.0	25083.319170645573	15579.338707235409	3052.809714888892
422.0	24729.01980113465	15477.072599282013	2971.199220178624
423.0	24387.186928919135	15385.469413983225	2863.3924588062164
424.0	23983.407482308754	15269.416236044408	2729.1291068193404
425.0	23566.723155510663	15138.13475640194	2609.81730823515
426.0	23093.34936195804	14986.803684376335	2501.8028548524817
427.0	22623.599872915223	14814.895742974757	2438.4288159707808
428.0	22103.5026700613	14612.735938890994	2351.944919811654
429.0	21580.05363505126	14425.608258109103	2287.5890713298095
430.0	21037.16950980859	14207.294686588983	2222.6017592322596
431.0	20527.635198820688	13995.72511413441	2138.250789498338
432.0	19998.321741415108	13778.575943931917	2038.588795246854
433.0	19384.450856732183	13524.208925248715	1943.7909424545048
434.0	18741.850858227757	13236.675380451512	1809.4678881563316
435.0	18175.481617776277	12980.051350998947	1747.9503839572676
436.0	17554.30505504825	12694.009910948696	1707.228057968288
437.0	16935.063129689457	12394.021344708899	1646.3926173714988
438.0	16291.995418600207	12079.201899279915	1599.5630590422516
439.0	15684.962418049026	11770.944913477335	1521.5487963886103
440.0	15045.988857821962	11452.437437474033	1464.8157288423265
441.0	14376.044492118572	11103.994086536006	1386.5195106752974
442.0	13781.575997977834	10766.79248924586	1291.2662059048344
443.0	13165.211458160773	10434.41431794037	1280.9427616128614
444.0	12538.40460169024	10085.546251746275	1214.3058408447266
445.0	11921.351570256098	9735.61964365072	1166.0120071651381
