[py] (M)	Z cut-epsilon	E cut-epsilon	HL cut-epsilon	D
300.0	6195.422568816393	6412.129456725914	4168.958531307169	9796.666311254055
301.0	6072.031141476888	6246.64026649917	4140.703313741429	9478.117695994393
302.0	5951.064611509747	6085.917475603055	4115.0674395583155	9170.776092077638
303.0	5838.461095053488	5934.921823969577	4091.955308379457	8880.159627812338
304.0	5724.592538680817	5790.48195161518	4071.376042962091	8613.237966301327
305.0	5611.341524445765	5653.926288496759	4053.7030127684734	8370.962440516538
306.0	5500.001635580467	5525.991625341644	4035.3148644982775	8153.411695946313
307.0	5392.185332158055	5396.608290482309	4016.583460808465	7924.785687121206
308.0	5290.517854249124	5279.873700851746	4003.3565653481314	7726.415243034234
309.0	5182.327307891471	5162.236229334134	3994.6644012848146	7536.83660702997
310.0	5082.117064440837	5052.515417653652	3991.6978293613574	7358.757153480975
311.0	4985.1800746801355	4947.320065402963	3990.4979987757583	7189.570519247238
312.0	4883.604704874303	4845.9159558087185	3993.0592763163445	7041.11895885334
313.0	4787.642369190803	4749.763705543541	3997.033549000418	6899.721761467304
314.0	4697.470020051024	4658.274470473332	4006.4014377572275	6763.136658944533
315.0	4607.500272776536	4570.375254124214	4017.8917484967155	6637.915464226045
316.0	4523.972865391406	4488.909473564849	4033.548474336223	6522.116092431832
317.0	4439.950682649094	4409.29560772242	4050.0281325116193	6413.257521660778
318.0	4356.95983391348	4330.622410624291	4071.598729017459	6305.615714465295
319.0	4281.3281504212055	4256.496180944525	4094.4321404688153	6199.582352387596
320.0	4209.933111954426	4188.905841932504	4121.6473244853905	6107.275784075524
321.0	4140.793118804099	4122.181456549607	4153.680115837773	6013.7392047001895
322.0	4079.8395940228147	4064.0248679119168	4189.247812854146	5933.457974227168
323.0	4021.4255285884237	4004.821884698898	4229.034706550875	5845.187145852139
324.0	3972.731306523147	3948.923756664562	4270.692919170757	5750.217561281462
325.0	3927.009086180876	3897.435072866505	4319.98519100777	5664.304027929296
326.0	3889.2159636257893	3849.3598251226267	4372.671037398421	5575.269814149201
327.0	3859.6196930020647	3805.2724349554314	4426.576723790725	5484.509597595679
328.0	3835.758077454006	3762.4318030806708	4486.818161457657	5387.500161247341
329.0	3821.1362782721085	3724.789240044495	4548.908262251821	5290.841146335571
330.0	3813.528996666234	3691.0044812338656	4617.785398334445	5194.159446191819
331.0	3817.755757989282	3662.5066508708574	4690.727814276035	5093.448864014386
332.0	3824.806401156584	3634.0797493505797	4764.188785352701	4987.887019046496
333.0	3841.5566430118242	3612.1536681504904	4842.827815894602	4886.10407642637
334.0	3870.4548144827872	3595.155530939824	4923.223082454622	4778.55445351139
335.0	3906.5408254799213	3583.1503145239676	5009.1518708366875	4674.378591685947
336.0	3952.7007890022087	3575.307508942937	5096.344219537015	4565.668211512601
337.0	4006.9247797008334	3568.60367408768	5184.5764593158765	4446.163599782951
338.0	4068.524042975577	3570.9667936860046	5277.535029080971	4343.005237616141
339.0	4142.758931506164	3578.831178937189	5369.541395101551	4235.0753848767035
340.0	4223.698681538142	3589.88454341302	5464.933776195747	4125.495176561682
341.0	4316.853035596158	3608.3777129940277	5562.801249540027	4018.234524278405
342.0	4414.96037627155	3629.2240539019035	5657.908938845584	3909.7463068087304
343.0	4527.071232691248	3658.3693740112762	5756.519780676554	3803.1645260505943
344.0	4649.994557609205	3690.1097707227764	5850.4164625476615	3685.5984172547437
345.0	4780.468297379603	3731.2763126834357	5946.37803526008	3585.2367782535
346.0	4922.794651189221	3776.655202291133	6041.401238287462	3477.302173744534
347.0	5077.216967280397	3833.339926293527	6137.976243491239	3384.5309980962406
348.0	5235.380707958168	3888.9580892985855	6229.806217575266	3281.5408034137777
349.0	5408.860011813388	3955.094355843353	6318.525270878862	3185.3452392761365
350.0	5601.499822961567	4030.5438176455173	6406.1803126257655	3085.086970917087
351.0	5791.533391354917	4108.942143362955	6494.701706425232	2999.1538779279267
352.0	5999.725713074472	4196.3572803344605	6581.1395480066685	2909.992951318633
353.0	6215.937471051984	4287.880039855438	6661.495313251603	2819.816642314145
354.0	6441.401671531457	4387.581154569219	6739.770832000852	2739.7046232210155
355.0	6688.093125998031	4496.63982369689	6814.110867462003	2651.9546772212875
356.0	6939.773411429659	4605.579484986942	6887.270436739836	2554.836036878953
357.0	7200.410482242559	4722.153948096742	6955.9732441245105	2466.538080395454
358.0	7478.356363797146	4849.038889124447	7021.785822834791	2380.7685959347114
359.0	7763.320636893006	4981.321539119432	7078.364857355508	2300.0003218957763
360.0	8063.627908365786	5121.5516880695495	7132.584781454481	2217.579129864806
361.0	8378.57196764484	5269.254268118284	7185.727538198907	2133.2241521817245
362.0	8702.594751973922	5427.277959034893	7233.170167195701	2066.2465386139406
363.0	9047.697234668694	5590.31593755357	7261.280975519329	1977.7071455838682
364.0	9390.840470263849	5754.917433288321	7332.583771431403	1897.8024080780247
365.0	9749.075050338919	5931.11691368484	7457.143981972548	1828.6238663983222
366.0	10124.94896738324	6120.654133835414	7466.274589163343	1771.2689139504662
367.0	10516.086492852999	6310.3674907549785	7523.172473473688	1687.014905161117
368.0	10914.166291786196	6500.210971173643	7573.607210031323	1590.689917609144
369.0	11311.266686725223	6702.412083341727	7501.336662933177	1536.5002401720285
370.0	11731.538099855008	6916.077062472286	7449.351879903593	1478.055183357949
371.0	12168.534575326395	7129.502990811438	7419.563590826631	1388.724035393462
372.0	12602.732069430713	7361.03037642463	7391.189580664612	1363.5685148039884
373.0	13034.45741481411	7583.601350130152	7368.554210950677	1313.6022642098123
