Wavelength / nm	1	2	3
71.0	4812.894003812777	6572.228065067811	3689.267517984555
72.0	4738.225198561881	6468.2656673022675	3728.5910169820945
73.0	4664.989288308891	6369.6458843593655	3773.9403200824486
74.0	4595.027707875208	6274.979262789473	3822.275596927279
75.0	4524.004448720534	6185.328716382153	3872.502486401547
76.0	4460.744365095636	6102.599793231244	3927.7603677383813
77.0	4394.9899421104255	6025.511076568291	3985.1600820235963
78.0	4334.180820464995	5944.1346299488305	4051.3351246643933
79.0	4274.660385265215	5874.505221898199	4117.160529643048
80.0	4215.611972822373	5800.189908251029	4188.868313655022
81.0	4158.030491941974	5732.816082429731	4266.404387540234
82.0	4097.759549770988	5672.379920570953	4347.981311692944
83.0	4043.548933377574	5611.8574942181085	4435.6287510274815
84.0	3992.0710842557874	5548.221169185779	4527.833019484729
85.0	3940.7507727030784	5489.814506789654	4625.94726901547
86.0	3894.75057428879	5427.90118041996	4732.451985081243
87.0	3838.426738695414	5379.268763806399	4838.669245720346
88.0	3793.849766635928	5324.634445400784	4952.021031245907
89.0	3748.969421816588	5278.56826524729	5070.0548841867585
90.0	3707.8935593600963	5226.995713470453	5200.024408273622
91.0	3671.541640606854	5178.476564864155	5332.813328928122
92.0	3636.6600623589975	5135.284633318384	5468.795987547719
93.0	3607.191826300153	5086.149547256719	5611.2654613365485
94.0	3575.89979081909	5048.446098982393	5757.031771883668
95.0	3553.0076987227417	5011.4538136991405	5911.421257671938
96.0	3534.662494311327	4968.6550302797805	6073.742634182683
97.0	3520.676752196794	4933.836878357573	6239.001744623085
98.0	3516.3835989016425	4892.999406991424	6410.72954336621
99.0	3514.625189557689	4862.325146122922	6583.113893586941
100.0	3514.360263163055	4838.9852325521015	6761.182789634021
101.0	3521.718682096631	4815.918023413388	6942.251187624291
102.0	3536.5914206397492	4790.191421486385	7124.1432770206275
103.0	3561.4209374647617	4768.920468314796	7316.036522520351
104.0	3591.7171321198143	4747.316331755962	7506.244940361045
105.0	3629.993367904936	4731.095210035756	7701.925817664813
106.0	3676.7683759291826	4718.188029607063	7900.506927189456
107.0	3730.4372280516177	4707.276780745698	8098.213173218286
108.0	3789.683711351095	4712.322784552086	8295.865297258515
109.0	3863.270876442201	4710.828526247897	8495.327604382039
110.0	3944.5269281418114	4711.543562243482	8700.231641118022
111.0	4032.379998112382	4721.484267521349	8896.74906401102
112.0	4127.650548004246	4742.526605688345	9100.681552216194
113.0	4234.600860836562	4761.604984490068	9304.964727107794
114.0	4352.871352751058	4784.448187435691	9505.296681632564
115.0	4478.585350450436	4822.450202778932	9700.399233448548
116.0	4619.1126140440165	4853.440284560342	9900.471338588693
117.0	4762.11914872497	4901.67466949006	10094.313746143656
118.0	4924.505979020163	4949.894538088739	10286.623079258823
119.0	5088.760475940109	5007.215774409917	10472.089606400026
120.0	5269.6363303543285	5070.994742810483	10658.814245573692
121.0	5458.327612389208	5141.616491758919	10834.115014609155
122.0	5661.137533130583	5218.516317581089	11004.594001451147
123.0	5878.576434336948	5295.750557205199	11174.230834227043
124.0	6101.184342119791	5392.448108777726	11329.679904051765
